"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Rich","Kiwoom DRX","Top",38,"37%","47%",88,122,182,2.2,"51.6%","16.8%","19.1%","11%",-151,-212,-6.9,8.2,"22.8%",627,"23.2%","21.5%",5997,244,"19.7%",0,0.46,0.13,0.25
"Roamer","HANJIN BRION","Middle",20,"60%","30%",62,50,138,4,"60.6%","18.8%","21.5%","15%",7,14,-0.2,8.6,"22.5%",638,"21.7%","21.9%",6686,263,"20.0%",0,0.41,0.16,0.24
"Ruler","Gen.G","ADC",36,"72%","47%",198,77,218,5.4,"67.9%","32.3%","18.6%","33%",203,96,4.8,10.3,"30.2%",800,"26.0%","27.7%",9814,377,"27.3%",0,0.44,0.18,0.37
"Scout","Nongshim RedForce","Middle",36,"31%","50%",139,117,196,2.9,"64.9%","26.9%","17.4%","25%",23,64,-2,8.7,"25.4%",732,"24.7%","25.4%",6807,277,"22.3%",0,0.36,0.16,0.2
"ShowMaker","Dplus Kia","Middle",37,"54%","51%",124,93,165,3.1,"60.2%","25.8%","19.7%","16%",26,-49,-2.2,9,"23.8%",661,"24.3%","24.2%",6810,277,"21.2%",1,0.42,0.2,0.22
"Siwoo","Dplus Kia","Top",37,"54%","30%",84,121,140,1.9,"46.7%","17.5%","25.7%","11%",30,-22,3.1,9.1,"24.9%",670,"24.7%","23.4%",7937,266,"20.3%",1,0.53,0.16,0.17
"Slayer","BNK FEARX","ADC",2,"0%","50%",3,9,5,0.9,"53.3%","20.0%","25.7%","0%",372,141,7.5,9.8,"29.5%",700,"32.7%","33.8%",2713,278,"25.5%",0,0.33,0.12,0.47
"Smash","Dplus Kia","ADC",37,"54%","70%",129,83,173,3.6,"62.9%","26.9%","17.6%","24%",60,17,-0.4,10.7,"32.6%",693,"25.4%","27.3%",8115,376,"28.7%",0,0.45,0.16,0.38
"Sponge","Nongshim RedForce","Jungle",36,"31%","44%",123,156,260,2.5,"74.2%","23.8%","23.1%","44%",-24,-195,-3.1,6.3,"16.6%",479,"16.5%","17.4%",1623,246,"19.6%",7,0.4,0.33,0.38
"Taeyoon","Nongshim RedForce","ADC",20,"45%","40%",87,72,116,2.8,"67.2%","28.8%","21.5%","35%",68,-28,-1.3,9.6,"30.5%",785,"26.6%","28.2%",6878,347,"26.7%",0,0.51,0.21,0.39
"Taeyoon","BNK FEARX","ADC",15,"47%","33%",67,38,92,4.2,"74.0%","31.2%","18.5%","20%",195,194,6.2,10.4,"32.2%",842,"31.5%","32.9%",7303,352,"28.2%",0,0.49,0.2,0.52
"Teddy","HANJIN BRION","ADC",36,"44%","39%",174,86,177,4.1,"66.9%","33.1%","18.1%","28%",17,40,-0.6,10.4,"31.8%",822,"29.8%","32.6%",7892,373,"28.7%",0,0.41,0.1,0.3
"Ucal","Kiwoom DRX","Middle",38,"37%","42%",160,96,201,3.8,"69.0%","30.6%","15.0%","21%",107,25,-0.4,9.4,"26.4%",694,"25.2%","26.6%",5850,284,"23.1%",0,0.41,0.13,0.19
"VicLa","BNK FEARX","Middle",24,"33%","54%",63,77,133,2.5,"66.2%","21.3%","20.5%","13%",-17,33,1.5,9.1,"24.9%",588,"23.0%","22.2%",5317,262,"21.7%",0,0.38,0.17,0.22
"Willer","Kiwoom DRX","Jungle",38,"37%","47%",123,125,268,3.1,"74.8%","23.5%","19.5%","32%",-54,108,1,6.9,"18.3%",445,"16.1%","17.7%",1683,255,"20.5%",2,0.41,0.33,0.41
"Zeka","Hanwha Life Esports","Middle",38,"76%","55%",209,69,271,7,"67.2%","29.3%","13.2%","16%",-13,-32,-1,9.1,"25.4%",762,"24.7%","26.4%",7784,311,"21.8%",0,0.4,0.18,0.23
"Zeus","Hanwha Life Esports","Top",38,"76%","50%",129,95,255,4,"53.8%","18.1%","18.2%","21%",173,136,4.4,8.3,"21.6%",687,"22.3%","20.4%",10083,281,"19.8%",0,0.46,0.16,0.15
